0.4,0.4,0.3,0.8,0.6,0.6,0.01,0.01,0.0688416157278898
0.4,0.4,0.3,0.8,0.6,0.6,0.01,0.01,0.0709517740025199
0.8,0.8,0.8,0.8,0.3,0.6,0.01,0.01,0.1958943779061
0.8,0.8,0.8,0.8,0.3,0.6,0.01,0.01,0.197675351025412
0.8,0.8,0.8,0.8,0.6,0.6,0.01,0.01,0.202587227504601
0.8,0.8,0.8,0.8,0.6,0.6,0.01,0.01,0.217424624978293
0.4,0.8,0.8,0.8,0.6,0.6,0.01,0.01,0.23819774157947
0.4,0.8,0.8,0.8,0.6,0.6,0.01,0.01,0.242707548644492
0.8,0.4,0.8,0.3,0.3,0.6,0.01,0.01,0.244547398851937
0.8,0.4,0.8,0.3,0.3,0.6,0.01,0.01,0.244729254460027
